date,split,S,K,T,r,sigma_used,log_moneyness,bs_price,mc_price,abs_error
2022-07-18 04:00:00,test,145.09693908691406,145.09693908691406,1.0,0.03,0.3555314937589111,0.0,22.38478215980912,22.31261758467554,0.07216457513358066
2022-07-18 04:00:00,test,145.09693908691406,159.60663299560548,1.0,0.03,0.3555314937589111,-0.0953101798043249,16.618879189760037,16.401135443162104,0.21774374659793239
2022-07-18 04:00:00,test,145.09693908691406,174.11632690429687,1.0,0.03,0.3555314937589111,-0.1823215567939546,12.19675948045058,12.059408395834383,0.13735108461619738
2022-07-18 04:00:00,test,145.09693908691406,116.07755126953126,2.0,0.03,0.3555314937589111,0.22314355131420976,46.92760101897089,47.23930296911945,0.31170195014856006
2022-07-18 04:00:00,test,145.09693908691406,130.58724517822267,2.0,0.03,0.3555314937589111,0.10536051565782614,39.05565582221111,38.75674982481168,0.29890599739943013
2022-07-18 04:00:00,test,145.09693908691406,145.09693908691406,2.0,0.03,0.3555314937589111,0.0,32.381802155822676,32.776853459463226,0.39505130364054963
2022-07-18 04:00:00,test,145.09693908691406,159.60663299560548,2.0,0.03,0.3555314937589111,-0.0953101798043249,26.781745546487954,26.303825625484475,0.4779199210034797
2022-07-18 04:00:00,test,145.09693908691406,174.11632690429687,2.0,0.03,0.3555314937589111,-0.1823215567939546,22.117881725017206,22.288835786960412,0.17095406194320617
2022-08-15 04:00:00,test,171.1038818359375,136.88310546875002,0.25,0.03,0.24397946667904805,0.22314355131420957,35.453892122408405,35.72092402339799,0.2670319009895863
2022-08-15 04:00:00,test,171.1038818359375,153.99349365234374,0.25,0.03,0.24397946667904805,0.10536051565782635,20.15039263647199,20.34886401213439,0.1984713756623968
2022-08-15 04:00:00,test,171.1038818359375,171.1038818359375,0.25,0.03,0.24397946667904805,0.0,8.945722227055967,8.89821970320435,0.04750252385161602
2022-08-15 04:00:00,test,171.1038818359375,188.21427001953126,0.25,0.03,0.24397946667904805,-0.0953101798043249,3.0097288824810917,2.973295018613702,0.03643386386738978
2022-08-15 04:00:00,test,171.1038818359375,205.32465820312498,0.25,0.03,0.24397946667904805,-0.1823215567939546,0.7752313546126377,0.8140126962076825,0.03878134159504476
2022-08-15 04:00:00,test,171.1038818359375,136.88310546875002,0.5,0.03,0.24397946667904805,0.22314355131420957,37.259236332162686,37.21298046355453,0.04625586860815645
2022-08-15 04:00:00,test,171.1038818359375,153.99349365234374,0.5,0.03,0.24397946667904805,0.10536051565782635,23.38172033420014,23.659472946942163,0.2777526127420238
2022-08-15 04:00:00,test,171.1038818359375,171.1038818359375,0.5,0.03,0.24397946667904805,0.0,12.991831150125762,13.068531165293487,0.07670001516772551
2022-08-15 04:00:00,test,171.1038818359375,188.21427001953126,0.5,0.03,0.24397946667904805,-0.0953101798043249,6.399459417065579,6.206059769398151,0.19339964766742757
2022-08-15 04:00:00,test,171.1038818359375,205.32465820312498,0.5,0.03,0.24397946667904805,-0.1823215567939546,2.824344930772522,2.8287739450861875,0.00442901431366538
2022-08-15 04:00:00,test,171.1038818359375,136.88310546875002,1.0,0.03,0.24397946667904805,0.22314355131420957,41.104259409696965,40.9433445524952,0.16091485720176735
2022-08-15 04:00:00,test,171.1038818359375,153.99349365234374,1.0,0.03,0.24397946667904805,0.10536051565782635,28.71154036579351,28.3805785799173,0.33096178587620884
2022-08-15 04:00:00,test,171.1038818359375,171.1038818359375,1.0,0.03,0.24397946667904805,0.0,19.018866588142245,18.900565044173135,0.11830154396911041
2022-08-15 04:00:00,test,171.1038818359375,188.21427001953126,1.0,0.03,0.24397946667904805,-0.0953101798043249,12.008013103727087,11.829389945012952,0.17862315871413514
2022-08-15 04:00:00,test,171.1038818359375,205.32465820312498,1.0,0.03,0.24397946667904805,-0.1823215567939546,7.272992627980791,7.122769837308745,0.15022279067204636
2022-08-15 04:00:00,test,171.1038818359375,136.88310546875002,2.0,0.03,0.24397946667904805,0.22314355131420957,48.07919025788868,47.90885885248492,0.1703314054037648
2022-08-15 04:00:00,test,171.1038818359375,153.99349365234374,2.0,0.03,0.24397946667904805,0.10536051565782635,37.09827111866895,37.02189399078964,0.0763771278793044
2022-08-15 04:00:00,test,171.1038818359375,171.1038818359375,2.0,0.03,0.24397946667904805,0.0,28.075641449869735,28.2167527137266,0.1411112638568639
2022-08-15 04:00:00,test,171.1038818359375,188.21427001953126,2.0,0.03,0.24397946667904805,-0.0953101798043249,20.906160444913,20.76255025467274,0.14361019024025978
2022-08-15 04:00:00,test,171.1038818359375,205.32465820312498,2.0,0.03,0.24397946667904805,-0.1823215567939546,15.363792355808599,15.679095006607223,0.31530265079862474
2022-09-13 04:00:00,test,151.9869384765625,121.58955078125001,0.25,0.03,0.31755860188174634,0.22314355131420957,32.00581840728705,31.967340143493534,0.03847826379351815
2022-09-13 04:00:00,test,151.9869384765625,136.78824462890626,0.25,0.03,0.31755860188174634,0.10536051565782635,19.414687714176438,19.145660991955367,0.2690267222210707
2022-09-13 04:00:00,test,151.9869384765625,151.9869384765625,0.25,0.03,0.31755860188174634,0.0,10.159876451183237,10.156405181142311,0.0034712700409258446
2022-09-13 04:00:00,test,151.9869384765625,167.18563232421877,0.25,0.03,0.31755860188174634,-0.09531017980432502,4.579734513622512,4.518720794800576,0.06101371882193618
2022-09-13 04:00:00,test,151.9869384765625,182.384326171875,0.25,0.03,0.31755860188174634,-0.1823215567939546,1.7998009048913204,1.748360746921875,0.051440157969445455
2022-09-13 04:00:00,test,151.9869384765625,121.58955078125001,0.5,0.03,0.31755860188174634,0.22314355131420957,34.444834916717184,34.28561662304878,0.15921829366840257
2022-09-13 04:00:00,test,151.9869384765625,136.78824462890626,0.5,0.03,0.31755860188174634,0.10536051565782635,23.22197685978142,23.078049295075836,0.1439275647055851
2022-09-13 04:00:00,test,151.9869384765625,151.9869384765625,0.5,0.03,0.31755860188174634,0.0,14.646893302324614,14.602226465553924,0.0446668367706895
2022-09-13 04:00:00,test,151.9869384765625,167.18563232421877,0.5,0.03,0.31755860188174634,-0.09531017980432502,8.691379361529876,8.661843286035701,0.029536075494174696
2022-09-13 04:00:00,test,151.9869384765625,182.384326171875,0.5,0.03,0.31755860188174634,-0.1823215567939546,4.890258615335021,4.80230224714191,0.0879563681931117
2022-09-13 04:00:00,test,151.9869384765625,121.58955078125001,1.0,0.03,0.31755860188174634,0.22314355131420957,39.090586770495364,39.21412685505438,0.12354008455901777
2022-09-13 04:00:00,test,151.9869384765625,136.78824462890626,1.0,0.03,0.31755860188174634,0.10536051565782635,29.17211855893224,29.188305763720308,0.01618720478806779
2022-09-13 04:00:00,test,151.9869384765625,151.9869384765625,1.0,0.03,0.31755860188174634,0.0,21.220379200360014,21.13115963421087,0.0892195661491435
2022-09-13 04:00:00,test,151.9869384765625,167.18563232421877,1.0,0.03,0.31755860188174634,-0.09531017980432502,15.106524205093258,15.167259487203934,0.06073528211067547
2022-09-13 04:00:00,test,151.9869384765625,182.384326171875,1.0,0.03,0.31755860188174634,-0.1823215567939546,10.565412869996202,10.637106871425006,0.07169400142880455
2022-09-13 04:00:00,test,151.9869384765625,121.58955078125001,2.0,0.03,0.31755860188174634,0.22314355131420957,46.85541517630777,47.04408287156104,0.18866769525326532
2022-09-13 04:00:00,test,151.9869384765625,136.78824462890626,2.0,0.03,0.31755860188174634,0.10536051565782635,38.16744480707331,37.69302572398517,0.4744190830881365
2022-09-13 04:00:00,test,151.9869384765625,151.9869384765625,2.0,0.03,0.31755860188174634,0.0,30.872245232215846,31.162885073943237,0.29063984172739055
2022-09-13 04:00:00,test,151.9869384765625,167.18563232421877,2.0,0.03,0.31755860188174634,-0.09531017980432502,24.840837536372106,24.504977791180927,0.3358597451911791
2022-09-13 04:00:00,test,151.9869384765625,182.384326171875,2.0,0.03,0.31755860188174634,-0.1823215567939546,19.91303634404136,19.821976803251044,0.0910595407903152
2022-10-11 04:00:00,test,137.30593872070312,109.84475097656251,0.25,0.03,0.35393579822107535,0.22314355131420976,29.258159062282033,29.192261033081245,0.06589802920078824
2022-10-11 04:00:00,test,137.30593872070312,123.57534484863281,0.25,0.03,0.35393579822107535,0.10536051565782635,18.28746174700018,18.324213162908965,0.03675141590878539
2022-10-11 04:00:00,test,137.30593872070312,137.30593872070312,0.25,0.03,0.35393579822107535,0.0,10.166602029592767,10.169331913029534,0.0027298834367677216
